"DATA";"TMEDIA";"TMIN";"TMAX"
"2014-11-02";"15.683782793122958";"12.342296029330472";"19.23856474848687"
"2014-11-03";"15.583682914646534";"12.038202354231853";"19.0746893160667"
"2014-11-04";"15.739324353906744";"12.907143869665267";"18.37909126934917"
"2014-11-05";"15.336555126951133";"13.375973231983496";"17.46968619457356"
"2014-11-06";"14.838109061660688";"12.468790235661102";"17.679807674287577"
"2014-11-07";"14.616718573037025";"11.820393973371676";"18.13715556413296"
"2014-11-08";"14.711436451064996";"11.737409374022665";"17.19219608771974"
"2014-11-09";"14.00978467146833";"11.046268260601945";"17.2265130070632"
"2014-11-10";"13.394585724628348";"10.339087826203343";"16.2667952047964"
"2014-11-11";"13.200076030322013";"10.028564021445462";"16.639886372200277"
"2014-11-12";"12.747608369112058";"9.505347361272504";"16.873219622186163"
"2014-11-13";"11.920003630555039";"7.8318855473339175";"16.3105148828832"
"2014-11-14";"12.281802961012371";"8.344771824633359";"16.187387911680553"
"2014-11-15";"11.821824114993229";"8.147979808451836";"16.056996574000124"
"2014-11-16";"11.797398397956947";"7.693581985482299";"16.03909613667209"
"2014-11-17";"12.426524042275796";"8.784300338280271";"17.100776412437433"
"2014-11-18";"12.737698130413683";"9.594450786673423";"16.467056019271514"
"2014-11-19";"12.297518602357927";"9.431986173453472";"15.879705283730235"
"2014-11-20";"12.037858554692189";"9.463518471038565";"15.525021804596523"
"2014-11-21";"12.690778323745558";"9.690300197656907";"16.02045380475921"
"2014-11-22";"14.178001302028818";"11.553287815490448";"17.398332812309143"
"2014-11-23";"14.318821646641128";"11.534806210236185";"17.1086531318671"
"2014-11-24";"14.335880636548012";"12.476118151804917";"16.701799314507614"
"2014-11-25";"13.049491931634714";"11.439060522276243";"15.332066659728538"
"2014-11-26";"12.595108180970309";"10.60904175676597";"15.189002039969202"
"2014-11-27";"12.338262195587962";"9.982896683162664";"14.702334726674298"
"2014-11-28";"12.260966994313792";"10.136751205499783";"14.047553309613441"
"2014-11-29";"11.725970915951223";"9.235005501988864";"14.658815915375039"
"2014-11-30";"10.565337097998935";"7.504411941794687";"13.214285652575487"
"2014-12-01";"9.70218388551929";"6.72090485287513";"12.31322615254339"
"2014-12-02";"9.61013130540617";"6.249728156958006";"12.824259653867149"
"2014-12-03";"8.593730141767757";"5.293837672786973";"12.285944953794326"
"2014-12-04";"8.462695166424032";"4.621871528859091";"12.692230645446628"
"2014-12-05";"8.283804949942468";"4.699175170193482";"12.63007505140794"
"2014-12-06";"8.948707394808606";"5.43481201526973";"12.812199156711715"
"2014-12-07";"9.39442308732618";"6.203837406293733";"13.024414950975212"
"2014-12-08";"9.697321430588879";"6.182707499545101";"13.011121174941447"
"2014-12-09";"10.001482908612225";"7.539801064457737";"12.973204237627968"
"2014-12-10";"9.144875112362456";"6.128855529163199";"13.26669973907587"
"2014-12-11";"9.05905460293637";"5.12592727685245";"13.017238989143955"
"2014-12-12";"9.354477677901517";"5.840541776105007";"13.662701832077891"
"2014-12-13";"9.416197778124241";"5.8355349928219615";"13.335063346307102"
"2014-12-14";"8.385997597839237";"5.296570208740633";"12.499891010245967"
"2014-12-15";"8.591585004099743";"5.307356456174223";"12.327888879762105"
"2014-12-16";"8.761448542946548";"5.54662106508775";"11.91016331782356"
